REF;LONGITUDE;LATITUDE;NOM1;NOM2;TYPE;OSM_ID;OSM_LON;OSM_LAT;OSM_NAME;DIFF_POS;DIFF_NOM;DIFF_NOM_CAP
1975;2.338712812;48.88441765;Abbesses;PARIS-18EME;metro;264505115;2.3384377;48.8844760;Abbesses;21;0;0
1981;2.326745674;48.82839851;Alésia;PARIS-14EME;metro;220289382;2.3269249;48.8280605;Alésia;39;0;0
1978;2.394989816;48.85617445;Alexandre-Dumas;PARIS-11EME;metro;243490764;2.3945621;48.8562640;Alexandre Dumas;32;1;1
1980;2.300883366;48.86464603;Alma-Marceau;PARIS-16EME;metro;260769132;2.3006256;48.8649686;Alma-Marceau;40;0;0
1982;2.285373878;48.89247238;Anatole-France;LEVALLOIS-PERRET;metro;255000799;2.2852229;48.8921077;Anatole France;42;1;1
11037;2.301313725;48.75471972;Antony;ANTONY;metro;80405300;2.3010069;48.7548914;Antony;29;0;0
1984;2.343972825;48.88313229;Anvers;PARIS-18EME;metro;243494998;2.3443344;48.8829026;Anvers;36;0;0
1986;2.289321664;48.87553309;Argentine;PARIS-17EME;metro;27362240;2.2891932;48.8757130;Argentine;22;0;0
1988;2.356377781;48.86529294;Arts-et-Métiers;PARIS-03EME;metro;243507793;2.3563464;48.8654878;Arts et Métiers;21;1;1
225437;2.284074472;48.93016341;Asnieres-Gennevilliers Les Courtilles;ASNIERES-SUR-SEINE;metro;269337982;2.2836436;48.9305465;Les Courtilles;52;1;1
1989;2.320632237;48.86089969;Assemblée Nationale;PARIS-07EME;metro;263497271;2.3210551;48.8606970;Assemblée Nationale;38;0;0
1992;2.39202195;48.90382992;Aubervilliers Pantin (4 Chemins);AUBERVILLIERS;metro;270244436;2.3921656;48.9036536;Aubervilliers - Pantin - Quatre Chemins;22;1;1
1994;2.294938075;48.84696427;Avenue Emile-Zola;PARIS-15EME;metro;261666122;2.2953101;48.8470463;Avenue Émile Zola;28;1;1
1995;2.39798013;48.85097821;Avron;PARIS-11EME;metro;243489718;2.3982271;48.8514805;Avron;58;0;0
1997;2.278218327;48.83627546;Balard;PARIS-15EME;metro;260231828;2.2784000;48.8363894;Balard;18;0;0
1999;2.349737194;48.88362073;Barbès-Rochechouart;PARIS-09EME;metro;1480535477;2.3495338;48.8837592;Barbès - Rochechouart;21;1;1
50622;2.359414718;48.93660331;Basilique de Saint-Denis;SAINT-DENIS;metro;331524250;2.3590959;48.9368260;Basilique de Saint-Denis;33;0;0
2000;2.369180605;48.85284173;Bastille;PARIS-04EME;metro;27371876;2.3686542;48.8520122;Bastille;99;0;0
2003;2.401205627;48.84189614;Bel-Air;PARIS-12EME;metro;245455187;2.4008998;48.8413343;Bel-Air;66;0;0
2004;2.376805608;48.8720416;Belleville;PARIS-19EME;metro;243493845;2.3769849;48.8720463;Belleville;13;0;0
1938;2.429238498;48.84533424;Bérault;VINCENNES;metro;241928758;2.4293269;48.8454354;Bérault;12;0;0
2005;2.379582969;48.84042809;Bercy;PARIS-12EME;metro;260762540;2.3799581;48.8401067;Bercy;45;0;0
